address,area_sqrft,baths,beds,broker_name,detail_url,id,image_urls,images,latetitude,longitude,price,status_text,status_type
"8550 SW 109th Ave #5-105, Miami, FL 33173",1442,2.0,3,Florida Realty of Miami Corp,https://www.zillow.com/homedetails/8550-SW-109th-Ave-5-105-Miami-FL-33173/70770533_zpid/,70770533,https://photos.zillowstatic.com/fp/e52f2d24acac7d58733fd7aa025299cb-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/e52f2d24acac7d58733fd7aa025299cb-p_e.jpg', 'path': 'full/70770533.jpg', 'checksum': 'c07fe6ee78fec93a1b1785344716189c', 'status': 'downloaded'}]",25.689182,-80.3707,"$304,998",Condo for sale,FOR_SALE
"15155 SW 176th Ln, Miami, FL 33187",2332,3.0,4,"BP Global Realty, LLC",https://www.zillow.com/homedetails/15155-SW-176th-Ln-Miami-FL-33187/244158944_zpid/,244158944,https://photos.zillowstatic.com/fp/13aad5090a3935135db3c89e65e24c0b-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/13aad5090a3935135db3c89e65e24c0b-p_e.jpg', 'path': 'full/244158944.jpg', 'checksum': 'bcc59b1c91f9b3cc21082d436c050042', 'status': 'downloaded'}]",25.603064,-80.43767,"$670,000",House for sale,FOR_SALE
"13557 SW 119th Ave, Miami, FL 33186",2112,3.0,4,Coldwell Banker Realty,https://www.zillow.com/homedetails/13557-SW-119th-Ave-Miami-FL-33186/55180713_zpid/,55180713,https://photos.zillowstatic.com/fp/f29cef3375a00d1737be4d399abcf7bc-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/f29cef3375a00d1737be4d399abcf7bc-p_e.jpg', 'path': 'full/55180713.jpg', 'checksum': 'b89a0e9e77b09058060b10db29009249', 'status': 'downloaded'}]",25.641903,-80.38699,"$675,000",House for sale,FOR_SALE
"61 SW 58th Ct, Miami, FL 33144",2682,4.0,5,Keller Williams Eagle Realty,https://www.zillow.com/homedetails/61-SW-58th-Ct-Miami-FL-33144/43833785_zpid/,43833785,https://photos.zillowstatic.com/fp/05e007641bf92c44658d336cd428bba9-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/05e007641bf92c44658d336cd428bba9-p_e.jpg', 'path': 'full/43833785.jpg', 'checksum': 'f7452b0caca1f30317c9ea5b0f5a2193', 'status': 'downloaded'}]",25.769836,-80.29041,"$489,000",House for sale,FOR_SALE
"4805 NW 7th St APT 109-15, Miami, FL 33126",789,2.0,2,Urban Key Realty Corp,https://www.zillow.com/homedetails/4805-NW-7th-St-APT-109-15-Miami-FL-33126/43819544_zpid/,43819544,https://photos.zillowstatic.com/fp/2af14f71dfb800e7b259967e3ca18924-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/2af14f71dfb800e7b259967e3ca18924-p_e.jpg', 'path': 'full/43819544.jpg', 'checksum': '4dfb9c872a4a4e7e92d513626d0cce3a', 'status': 'downloaded'}]",25.780432,-80.273415,"$245,000",Condo for sale,FOR_SALE
"350 NE 24th St APT 1110, Miami, FL 33137",1036,2.0,2,Willis Wilson & Associates,https://www.zillow.com/homedetails/350-NE-24th-St-APT-1110-Miami-FL-33137/83158187_zpid/,83158187,https://photos.zillowstatic.com/fp/49de290c85ea25c64e3ccba9c2a483b7-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/49de290c85ea25c64e3ccba9c2a483b7-p_e.jpg', 'path': 'full/83158187.jpg', 'checksum': '8bb4f2cf7dcf154c6d856c4e8e296542', 'status': 'downloaded'}]",25.799862,-80.188644,"$489,000",Condo for sale,FOR_SALE
"11540 SW 107th Ave, Miami, FL 33176",2591,3.0,4,Lifestyle International Realty,https://www.zillow.com/homedetails/11540-SW-107th-Ave-Miami-FL-33176/44279592_zpid/,44279592,https://photos.zillowstatic.com/fp/6317d620e1af82e401439c2517e0778a-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/6317d620e1af82e401439c2517e0778a-p_e.jpg', 'path': 'full/44279592.jpg', 'checksum': '0fed03aa800d93dbeb82a2410ce5fceb', 'status': 'downloaded'}]",25.661446,-80.36783,"$950,000",House for sale,FOR_SALE
"133 NW 69th St, Miami, FL 33150",1166,2.0,4,Resivest Realty LLC,https://www.zillow.com/homedetails/133-NW-69th-St-Miami-FL-33150/43807090_zpid/,43807090,https://photos.zillowstatic.com/fp/b26901f0cfd525af4797176ba5c5e93e-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/b26901f0cfd525af4797176ba5c5e93e-p_e.jpg', 'path': 'full/43807090.jpg', 'checksum': '1e07e537c19bcf7f264430d35bacfd34', 'status': 'downloaded'}]",25.83866,-80.1991,"$312,000",Foreclosure,FOR_SALE
"999 Brickell Bay Dr APT 408, Miami, FL 33131",1060,2.0,2,Brickell Investment Realty,https://www.zillow.com/homedetails/999-Brickell-Bay-Dr-APT-408-Miami-FL-33131/43873807_zpid/,43873807,https://photos.zillowstatic.com/fp/e3eaca84fe4ebd7a601c0100b3a523c9-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/e3eaca84fe4ebd7a601c0100b3a523c9-p_e.jpg', 'path': 'full/43873807.jpg', 'checksum': '6d7423bede5f3341e609d88e82a7daa3', 'status': 'downloaded'}]",25.764765,-80.18901,"$359,000",Condo for sale,FOR_SALE
"10455 SW 228th Ter, Miami, FL 33190",2557,3.0,4,J Correa & Associates Inc,https://www.zillow.com/homedetails/10455-SW-228th-Ter-Miami-FL-33190/72572853_zpid/,72572853,https://photos.zillowstatic.com/fp/c7c2bbb90f9df7c4ddcfc2d0558563aa-p_e.jpg,"[{'url': 'https://photos.zillowstatic.com/fp/c7c2bbb90f9df7c4ddcfc2d0558563aa-p_e.jpg', 'path': 'full/72572853.jpg', 'checksum': '2a5141f5fe2c3bd5565058711ba9a12f', 'status': 'downloaded'}]",25.555294,-80.36116,"$545,000",House for sale,FOR_SALE
